2024-07-18T00:00:00.010+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-18T00:00:00.038+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
2024-07-18T00:00:00.274+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:124 | sql:SELECT 1
2024-07-18T00:00:04.189+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:193 | sql:update sl_config slc1_0 set pv=17,uv=14 where slc1_0.id=752
2024-07-18T00:00:04.418+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:220 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=264 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:04.648+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:219 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=264 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:04.778+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:120 | sql:update sl_config slc1_0 set pv=78,uv=56 where slc1_0.id=264
2024-07-18T00:00:05.006+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:217 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=153 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:05.240+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:230 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=153 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:05.434+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:191 | sql:update sl_config slc1_0 set pv=108,uv=89 where slc1_0.id=153
2024-07-18T00:00:06.586+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:1148 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=655 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:06.800+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=655 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:06.945+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:139 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=655
2024-07-18T00:00:07.113+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:158 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=334 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:07.285+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:161 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=334 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:07.440+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:147 | sql:update sl_config slc1_0 set pv=36,uv=34 where slc1_0.id=334
2024-07-18T00:00:07.614+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:165 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1302 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:07.775+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:152 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1302 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:07.931+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:153 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1302
2024-07-18T00:00:08.144+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:208 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=331 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:08.358+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:205 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=331 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:08.561+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:197 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=331
2024-07-18T00:00:08.782+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:212 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=760 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:08.994+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=760 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:09.194+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:194 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=760
2024-07-18T00:00:09.415+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:218 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=253 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:09.630+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=253 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:09.831+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:197 | sql:update sl_config slc1_0 set pv=49,uv=37 where slc1_0.id=253
2024-07-18T00:00:10.040+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:206 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=384 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:10.521+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:472 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=384 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:10.722+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:193 | sql:update sl_config slc1_0 set pv=2,uv=2 where slc1_0.id=384
2024-07-18T00:00:10.934+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:208 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=262 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:11.143+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:206 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=262 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:11.339+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:192 | sql:update sl_config slc1_0 set pv=224,uv=161 where slc1_0.id=262
2024-07-18T00:00:11.558+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:211 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=377 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:11.777+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:211 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=377 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:11.971+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:190 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=377
2024-07-18T00:00:12.187+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:208 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=309 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:12.410+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:215 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=309 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:12.873+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:456 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=309
2024-07-18T00:00:13.098+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:216 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=852 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:13.330+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:227 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=852 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:13.525+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:192 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=852
2024-07-18T00:00:13.754+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:220 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=379 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:13.976+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:217 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=379 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:14.172+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:193 | sql:update sl_config slc1_0 set pv=7,uv=5 where slc1_0.id=379
2024-07-18T00:00:14.381+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:205 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=371 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:14.589+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:204 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=371 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:14.807+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:215 | sql:update sl_config slc1_0 set pv=1,uv=1 where slc1_0.id=371
2024-07-18T00:00:15.014+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1052 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:15.179+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:162 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1052 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:15.383+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:198 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1052
2024-07-18T00:00:15.599+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1152 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:15.759+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:157 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1152 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:15.961+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:194 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1152
2024-07-18T00:00:16.175+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1153 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:16.390+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:208 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1153 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:16.603+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:209 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1153
2024-07-18T00:00:16.814+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1004 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:17.039+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:216 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1004 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:17.239+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:193 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1004
2024-07-18T00:00:17.448+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:202 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1003 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:17.662+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:205 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1003 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:17.866+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:197 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1003
2024-07-18T00:00:18.071+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:202 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=355 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:18.286+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=355 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:18.489+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:196 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=355
2024-07-18T00:00:18.705+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=382 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:18.915+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=382 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:19.129+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:212 | sql:update sl_config slc1_0 set pv=1,uv=1 where slc1_0.id=382
2024-07-18T00:00:19.352+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:219 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=1252 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:19.572+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:214 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=1252 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:19.768+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:193 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=1252
2024-07-18T00:00:19.984+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:212 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=303 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:20.212+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:224 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=303 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:20.426+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:211 | sql:update sl_config slc1_0 set pv=18,uv=12 where slc1_0.id=303
2024-07-18T00:00:20.648+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:216 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=332 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:20.858+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:206 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=332 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:21.055+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:190 | sql:update sl_config slc1_0 set pv=7,uv=4 where slc1_0.id=332
2024-07-18T00:00:21.269+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:204 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=376 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:21.483+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=376 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:21.680+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:194 | sql:update sl_config slc1_0 set pv=2,uv=2 where slc1_0.id=376
2024-07-18T00:00:21.889+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:203 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=254 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:22.105+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=254 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:22.312+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:200 | sql:update sl_config slc1_0 set pv=69,uv=62 where slc1_0.id=254
2024-07-18T00:00:22.527+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:207 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=320 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:22.740+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:210 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=320 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:23.328+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:582 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=320
2024-07-18T00:00:23.544+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:206 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=400 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:24.032+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:485 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=400 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:24.237+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:197 | sql:update sl_config slc1_0 set pv=0,uv=0 where slc1_0.id=400
2024-07-18T00:00:24.833+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:586 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=312 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:25.056+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:209 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=312 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:25.259+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:194 | sql:update sl_config slc1_0 set pv=96,uv=78 where slc1_0.id=312
2024-07-18T00:00:25.464+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:202 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=392 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
